source	lang_label_ga	function	phrase_raw	phrase_native	phrase_translit	slots_count_est	needs_manual_normalization
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Indinéisis	morning	Selamat pagi Selamat siang Selamat malam Selamat tidur Selamat		Selamat pagi Selamat siang Selamat malam Selamat tidur Selamat	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Inuktitut	morning	Ullakut Ullukut Unnukut Ai		Ullakut Ullukut Unnukut Ai	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Ioruais	morning	God morgen Goddag God kveld God natt Hallo / Hei		God morgen Goddag God kveld God natt Hallo / Hei	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Íoslainnis	morning	Góðan daginn Góðan daginn Gott kvöld Góða nótt Halló		Góðan daginn Góðan daginn Gott kvöld Góða nótt Halló	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Iodáilis	morning	Buongiorno Buon pomeriggio Buonasera Buonanotte Ciao		Buongiorno Buon pomeriggio Buonasera Buonanotte Ciao	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Laóis	morning	Sabaidi Sabaidi Sabaidi Sabaidi Sabaidi		Sabaidi Sabaidi Sabaidi Sabaidi Sabaidi	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Laplainnis	morning	(Same) Buorre iđit Buorre beaivi Buorre eahket   Dearvva		(Same) Buorre iđit Buorre beaivi Buorre eahket   Dearvva	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Laitvis	morning	Labdien Labvakar Ar labu nakti Sveiks		Labdien Labvakar Ar labu nakti Sveiks	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Liotuáinis	morning	Labas rytas Laba diena Labas vakaras Labànakt Sveikas		Labas rytas Laba diena Labas vakaras Labànakt Sveikas	1	True
ga.wikipedia.org/wiki/Beannú_do_dhuine_i_dteangacha_éagsúla	Lucsambuirgis	morning	Gudde Moeien Gudde Mëttëg Gudden Ovend Gudd Nuecht Salü		Gudde Moeien Gudde Mëttëg Gudden Ovend Gudd Nuecht Salü	1	True
